Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,emotion
1,"thank u, next",Ariana Grande,3978028,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-01,2rPE9A1vEgShuZxxzR2tZH,0.28,0.724,207333,0.647,0,1,0.102,-5.642,1,0.0658,106.96,4,0.435,excited
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3883836,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-01,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,158040,0.479,0,2,0.0703,-5.574,1,0.0466,89.911,4,0.913,peacefull
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,3351784,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,4w8niZpiMy6qz1mntFA5uM,0.153,0.841,212500,0.798,3.33E-06,1,0.0618,-4.206,0,0.229,95.948,4,0.591,happy
4,Wow.,Post Malone,3195966,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-01,6MWtB6iiXyIwun0YzU6DFP,0.163,0.833,149520,0.539,2.10E-06,11,0.101,-7.399,0,0.178,99.947,4,0.385,excited
5,MIA (feat. Drake),Bad Bunny,2777884,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-01,116H0KvKr2Zl4RPuVBruDO,0.0141,0.817,210368,0.539,0.000496,6,0.099,-6.349,0,0.0621,97.062,4,0.158,excited
6,SICKO MODE,Travis Scott,2624453,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-01,2xLMifQCjDGFmkHkpNLD9h,0.00513,0.834,312820,0.73,0,8,0.124,-3.714,1,0.222,155.008,4,0.446,excited
7,Without Me,Halsey,2618489,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-01,5p7ujcrUXASCNwRaWNHR1C,0.297,0.752,201661,0.488,9.11E-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.533,peacefull
8,Sweet but Psycho,Ava Max,2432084,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-01,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436,0.704,0,1,0.166,-4.724,1,0.0476,133.002,4,0.628,happy
9,Calma - Remix,Pedro Capó,2385494,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-01,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200,0.773,0,11,0.143,-4.218,0,0.0524,126.899,4,0.761,happy
10,Happier,Marshmello,2385450,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-01,2dpaYNEQHiRxtZbfNsse99,0.191,0.687,214290,0.792,0,5,0.167,-2.749,1,0.0452,100.015,4,0.671,happy
11,Adan y Eva,Paulo Londra,2191752,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-01,6FyRXC8tJUh863JCkyWqtk,0.323,0.767,258639,0.709,0,1,0.0676,-4.47,1,0.336,171.993,4,0.72,happy
12,ZEZE,Kodak Black,2160788,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-01-01,0FZ4Dmg8jJJAPJnvBIzD9z,0.0521,0.861,228760,0.603,0,8,0.0924,-5.788,0,0.176,98.043,4,0.504,happy
13,Going Bad (feat. Drake),Meek Mill,2020725,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-01-01,2IRZnDFmlqMuOrYOLnZZyc,0.259,0.889,180522,0.496,0,4,0.252,-6.365,0,0.0905,86.003,4,0.544,peacefull
14,Mo Bamba,Sheck Wes,1904157,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019-01-01,1xzBco0xcoJEDXktl7Jxrr,0.194,0.729,183907,0.625,0.00986,4,0.248,-5.266,1,0.0315,146.034,4,0.261,excited
15,High Hopes,Panic! At The Disco,1818904,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-01,1rqqCSm0Qe4I9rUvWncaom,0.193,0.579,190947,0.904,0,5,0.064,-2.729,1,0.0618,82.014,4,0.681,happy
16,Eastside (with Halsey & Khalid),benny blanco,1766878,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-01-01,7FGq80cy8juXBCD2nrqdWU,0.549,0.632,170770,0.686,0,6,0.2,-7.665,0,0.243,89.949,4,0.329,excited
17,Girls Like You (feat. Cardi B),Maroon 5,1748652,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-01-01,7fa9MBXhVfQ8P8Df9OEbD8,0.568,0.851,235545,0.541,0,0,0.13,-6.825,1,0.0505,124.959,4,0.448,excited
18,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1702113,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019-01-01,78QR3Wp35dqAhFEc2qAGjE,0.103,0.896,145543,0.671,0,1,0.552,-6.977,0,0.289,112.502,4,0.358,excited
19,I Like It,Cardi B,1649370,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019-01-01,58q2HKrzhC3ozto2nDdN4z,0.099,0.816,253390,0.726,0,5,0.372,-3.998,0,0.129,136.048,4,0.65,happy
20,Better Now,Post Malone,1610618,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-01-01,7dt6x5M1jzdTEt8oCbisTK,0.354,0.68,231267,0.563,0,10,0.136,-5.843,1,0.0454,145.028,4,0.374,excited
21,Lucid Dreams,Juice WRLD,1599587,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-01-01,285pBltuF7vW8TeWk8hdRR,0.349,0.511,239836,0.566,0,6,0.34,-7.23,0,0.2,83.903,4,0.218,excited
22,Bohemian Rhapsody - Remastered 2011,Queen,1575089,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019-01-01,7tFiyTwD0nx5a1eklYtX2J,0.254,0.397,354320,0.396,0,3,0.268,-9.91,1,0.05,142.913,4,0.227,sad
23,Shallow,Lady Gaga,1569388,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-01-01,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733,0.385,0,7,0.231,-6.362,1,0.0308,95.799,4,0.323,sad
24,God's Plan,Drake,1552552,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019-01-01,6DCZcSspjsKoFjzjrWoCdn,0.0332,0.754,198973,0.449,8.29E-05,7,0.552,-9.211,1,0.109,77.169,4,0.357,sad
25,rockstar (feat. 21 Savage),Post Malone,1532954,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019-01-01,0e7ipj03S05BNilyu5bRzt,0.117,0.587,218147,0.535,6.56E-05,5,0.131,-6.09,0,0.0898,159.847,4,0.14,excited
26,SAD!,XXXTENTACION,1520786,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-01-01,3ee8Jmje8o58CHK66QrVC2,0.258,0.74,166606,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473,excited
27,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,1480647,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019-01-01,2LskIZrCeLxRvCiGP8gxlh,0.0302,0.703,198903,0.723,2.06E-06,9,0.126,-5.45,0,0.0412,104.969,4,0.288,excited
28,In My Mind,Dynoro,1434955,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-01,0E9ZjEAyAwOXZ7wJC0PD33,0.176,0.694,184560,0.77,1.10E-05,6,0.118,-5.335,1,0.149,125.905,4,0.163,excited
29,imagine,Ariana Grande,1415040,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019-01-01,0todbbT9g5uQGbeFCiBf2F,0.374,0.714,212293,0.474,0,8,0.106,-4.993,1,0.039,62.484,3,0.376,sad
30,Ella Quiere Beber - Remix,Anuel AA,1401784,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-01,2cYnZNzFRFK0H7vSNxPsUq,0.265,0.751,219357,0.665,0,8,0.0515,-3.083,1,0.124,95.239,4,0.698,happy
31,Better,Khalid,1355797,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-01-01,6zeeWid2sgw4lap2jV61PZ,0.0765,0.596,229320,0.552,0.334,0,0.104,-10.278,0,0.097,97.949,4,0.112,excited
32,Promises (with Sam Smith),Calvin Harris,1354412,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-01-01,5N5k9nd479b1xpDZ4usjrg,0.0119,0.781,213309,0.768,4.91E-06,11,0.325,-5.991,1,0.0394,123.07,4,0.486,excited
33,when the party's over,Billie Eilish,1354146,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019-01-01,14JzyD6FlBD5z0wV5P07YI,0.979,0.498,199931,0.104,7.86E-05,1,0.0895,-14.08,0,0.0621,124.001,3,0.205,sad
34,One Kiss (with Dua Lipa),Calvin Harris,1349422,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019-01-01,7ef4DlsgrMEH11cDZd32M6,0.037,0.791,214847,0.862,2.19E-05,9,0.0814,-3.24,0,0.11,123.994,4,0.592,happy
35,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,1327813,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-01-01,27rdGxbavYJeBphck5MZAF,0.00987,0.601,217467,0.794,1.36E-06,7,0.388,-5.844,0,0.0671,114.066,4,0.244,excited
36,Vaina Loca,Ozuna,1323457,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-01,48zFZh27QU5qsrBjn4C2FA,0.315,0.754,176133,0.805,0,6,0.203,-4.249,1,0.0752,93.983,4,0.555,happy
37,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,1316696,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-01-01,5JEx7HbmvHQQswJCsoo9rA,0.0969,0.574,182623,0.758,0,1,0.395,-5.029,0,0.0621,144.111,4,0.492,excited
38,Leave Me Alone,Flipp Dinero,1288354,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019-01-01,14mHfNsSHN0FbLftyjrV9g,0.107,0.792,195637,0.743,0,7,0.183,-2.806,1,0.0851,150.024,4,0.742,happy
39,Moonlight,XXXTENTACION,1287251,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-01-01,0JP9xo3adEtGSdUEISiszL,0.556,0.921,135090,0.537,0.00404,9,0.102,-5.723,0,0.0804,128.009,4,0.711,happy
40,Wake Up in the Sky,Gucci Mane,1266708,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019-01-01,2G1tXoGBaEMJ7FKGnkf6ud,0.00381,0.8,203161,0.578,0,4,0.367,-5.144,0,0.0485,143.01,4,0.367,excited
41,Adictiva,Daddy Yankee,1244010,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-01,6MJUCumnQsQEKbCy28tbCP,0.291,0.788,207853,0.771,5.62E-05,4,0.172,-3.206,0,0.0563,99.038,4,0.701,happy
42,In My Feelings,Drake,1234391,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019-01-01,2G7V7zsVDxg1yRsu7Ew9RJ,0.0589,0.835,217925,0.626,6.00E-05,1,0.396,-5.833,1,0.125,91.03,4,0.35,excited
43,Taste (feat. Offset),Tyga,1208890,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019-01-01,5IaHrVsrferBYDm0bDyABy,0.0236,0.884,232959,0.559,0,0,0.101,-7.442,1,0.12,97.994,4,0.342,excited
44,Be Alright,Dean Lewis,1192272,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-01,3EPXxR3ImUwfayaurPi3cm,0.697,0.553,196373,0.586,0,11,0.0813,-6.319,1,0.0362,126.684,4,0.443,excited
45,Solo de Mi,Bad Bunny,1174937,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-01,4uP3pUP18ennmz0tb3GphR,0.287,0.743,197968,0.73,8.10E-05,10,0.0778,-4.314,0,0.125,179.972,4,0.15,excited
46,Shape of You,Ed Sheeran,1161132,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019-01-01,7qiZfU4dY1lWllzX7mPBI3,0.581,0.825,233713,0.652,0,1,0.0931,-3.183,0,0.0802,95.977,4,0.931,happy
47,Don't Stop Me Now - Remastered,Queen,1155173,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019-01-01,5T8EDUDqKcs6OSOwEsfqG7,0.0475,0.559,209413,0.868,0.000176,5,0.776,-5.276,1,0.17,156.295,4,0.609,happy
48,Saturday Nights,Khalid,1144090,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019-01-01,5kfNriitmkNE8mUbZ7gbq8,0.606,0.551,210667,0.44,3.02E-05,10,0.11,-8.559,1,0.0985,167.923,4,0.341,sad
49,Havana (feat. Young Thug),Camila Cabello,1123301,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2019-01-01,1rfofaqEpACxVEHIZBJe6W,0.184,0.765,217307,0.523,3.56E-05,2,0.132,-4.333,1,0.03,104.988,4,0.394,excited
50,Youngblood,5 Seconds of Summer,1122507,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-01-01,2iUXsYOEPhVqEBwsqP70rE,0.0169,0.596,203418,0.854,0,7,0.124,-5.114,0,0.463,120.274,4,0.152,excited
42,whoa (mind in awe),XXXTENTACION,1312739,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa,2019-01-02,7pdF27mSDuPWhppnHAmWHa,0.653,0.735,157777,0.525,0.918,6,0.101,-2.939,0,0.0441,160.147,4,0.369,excited
43,Bad Liar,Imagine Dragons,1302602,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019-01-02,2RSHsoi04658QL5xgQVov3,0.0722,0.383,260773,0.637,0,3,0.368,-6.993,1,0.0703,177.913,4,0.0827,excited
44,Look Back at It,A Boogie Wit da Hoodie,1275935,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019-01-02,3Ol2xnObFdKV9pmRD2t9x8,0.407,0.791,179449,0.587,0,3,0.148,-5.075,0,0.0413,96.057,4,0.536,happy
46,Ruin My Life,Zara Larsson,1269655,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019-01-02,5tAa8Uaqr4VvA3693mbIhU,0.423,0.665,190932,0.699,0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585,happy
47,Kiss and Make Up,Dua Lipa,1257598,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019-01-02,13hvHEstJ4sNbzdroPrPI3,0.0557,0.675,190560,0.729,0,8,0.189,-4.383,1,0.146,99.986,4,0.63,happy
49,Desconocidos,Mau y Ricky,1293323,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-05,0s5DNDV6LAKn2u2Ufa3VjQ,0.146,0.709,204453,0.771,3.29E-06,7,0.249,-4.598,1,0.166,174.006,4,0.709,happy
48,lovely,Billie Eilish,1197489,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019-01-06,1NJcg626wLln4pGHpiV7mf,0.934,0.351,200186,0.296,0,4,0.095,-10.109,0,0.0333,115.284,4,0.12,sad
49,a lot,21 Savage,1302425,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019-01-07,2t8yVaLvJ0RenpXUIAC52d,0.0395,0.837,288624,0.636,0.00125,1,0.342,-7.643,1,0.086,145.972,4,0.274,excited
8,Dancing With A Stranger (with Normani),Sam Smith,3001247,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019-01-11,6Qs4SXO9dwPj5GKvVOv8Ki,0.45,0.741,171030,0.52,1.97E-06,8,0.222,-7.513,1,0.0656,102.998,4,0.347,excited
14,Lost in the Fire,Gesaffelstein,2598505,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG,2019-01-11,7wFybC8jBH3zE139OpCtpG,0.0863,0.663,202093,0.675,0.00133,2,0.117,-12.159,1,0.0359,101.004,4,0.176,excited
34,Giant (with Rag'n'Bone Man),Calvin Harris,1718404,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019-01-11,5itOtNx0WxtJmi1TQ3RuRd,0.016,0.807,229184,0.887,0.000503,1,0.0811,-4.311,0,0.0361,122.015,4,0.606,happy
48,Amanece,Anuel AA,1318523,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-01-15,1LiN0Z98FkR1t0m8KmLcAH,0.437,0.79,190005,0.631,0,8,0.158,-5.549,0,0.0425,94.039,4,0.889,happy
44,Secreto,Anuel AA,1429791,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-01-17,5W83ErFkO3aKAIS1WMi6u0,0.602,0.807,258800,0.803,0.00853,11,0.136,-4.156,1,0.126,91.987,4,0.706,happy
1,7 rings,Ariana Grande,8554577,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019-01-18,14msK75pk3pA33pzPVNtBF,0.578,0.725,178640,0.321,0,1,0.0884,-10.744,0,0.323,70.142,4,0.319,sad
27,First Off (feat. Travis Scott),Future,1943504,https://open.spotify.com/track/3WRIaWsws011vHMd9uzPjG,2019-01-18,3WRIaWsws011vHMd9uzPjG,0.013,0.734,228367,0.683,0,1,0.28,-6.105,1,0.0776,162.038,4,0.445,excited
35,Hobby Hobby,MERO,1712691,https://open.spotify.com/track/260R90ctQ1SiPax90PuEsT,2019-01-18,260R90ctQ1SiPax90PuEsT,0.379,0.737,153308,0.75,0,8,0.131,-6.464,1,0.298,81.955,4,0.857,happy
37,Keanu Reeves,Logic,1708178,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK,2019-01-18,25F6MWrnFBCXVnpN4n76EK,0.0591,0.71,225987,0.888,0,2,0.134,-6.457,1,0.235,170.193,4,0.816,happy
43,Crushed Up,Future,1636425,https://open.spotify.com/track/7wcyO1rrH3Ru4t659IjG41,2019-01-18,7wcyO1rrH3Ru4t659IjG41,0.0415,0.781,149949,0.597,0,10,0.152,-6.794,0,0.23,158.043,4,0.544,happy
47,Baila Baila Baila,Ozuna,1222552,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,2019-01-20,7uH27oIt4a6cIFCA8ZPcyG,0.0361,0.816,158400,0.754,0,11,0.217,-2.75,0,0.111,99.966,4,0.533,happy
49,Hope,The Chainsmokers,1317607,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5,2019-01-21,4BiiOzZCrXEzHRLYcYFiD5,0.488,0.773,180120,0.699,3.60E-06,1,0.0814,-5.982,0,0.0958,104.941,4,0.513,happy
2,MIDDLE CHILD,J. Cole,5194744,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019-01-24,2JvzF1RMd7lE3KmFlsyZD8,0.149,0.837,213594,0.364,0,8,0.271,-11.713,1,0.276,123.984,4,0.463,sad
22,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",Dua Lipa,2087501,https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l,2019-01-25,5600nq7TiBraBX2jobyJ3l,0.00579,0.588,182075,0.821,0.000275,5,0.208,-6.54,0,0.216,188.098,4,0.509,happy
35,i'm so tired...,Lauv,1717210,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019-01-25,7COXchtUOMd6uIT6HvmRaI,0.176,0.599,162583,0.733,0,11,0.242,-7.058,1,0.203,102.211,4,0.534,happy
48,Nights Like This (feat. Ty Dolla $ign),Kehlani,1378792,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B,2019-01-29,7e4KQkp5ZR1gXCAalRjX6B,0.367,0.61,201788,0.725,0,8,0.154,-5.131,1,0.15,146.163,4,0.291,excited
40,bury a friend,Billie Eilish,1552780,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019-01-30,4NzMOnvSJVNKF7nw5NkXIP,0.74,0.905,193143,0.389,0.162,8,0.106,-14.505,1,0.332,120.046,4,0.196,sad
42,Con Calma,Daddy Yankee,1603059,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-02-01,5w9c2J52mkdntKOmRLeM2m,0.11,0.737,193227,0.86,1.94E-06,8,0.0574,-2.652,0,0.0593,93.989,4,0.656,happy
44,Racks on Racks,Lil Pump,1556911,https://open.spotify.com/track/0SfG57HqtBNqKN9O27fo1s,2019-02-01,0SfG57HqtBNqKN9O27fo1s,0.0311,0.822,129778,0.484,6.22E-06,1,0.31,-7.166,1,0.0865,150.061,4,0.0934,sad
44,Thotiana,Blueface,1536114,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,2019-02-02,3oh6SCCeLuXhFpEyepla6G,0.18,0.906,129264,0.382,0,10,0.113,-12.89,0,0.269,104.025,4,0.391,sad
50,Let Me Down Slowly,Alec Benjamin,1293171,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019-02-04,2qxmye6gAegTMjLKEBoR3d,0.74,0.652,169354,0.557,0,1,0.124,-5.714,0,0.0318,150.073,4,0.483,excited
1,7 rings,Ariana Grande,10445538,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,6ocbgoVGwYJhOv1GgI9NsF,0.592,0.778,178627,0.317,0,1,0.0881,-10.732,0,0.334,140.048,4,0.327,sad
2,"break up with your girlfriend, i'm bored",Ariana Grande,7599830,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019-02-08,4kV4N9D1iKVxx1KLvtTpjS,0.0421,0.726,190440,0.554,0,5,0.106,-5.29,0,0.0917,169.999,4,0.335,excited
3,needy,Ariana Grande,5821541,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ,2019-02-08,1TEL6MlSSVLSdhOSddidlJ,0.78,0.647,171573,0.309,7.41E-06,7,0.202,-7.948,0,0.0366,87.045,4,0.195,sad
4,"thank u, next",Ariana Grande,5787523,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,3e9HZxeyfWwjeyPAMmWSSQ,0.229,0.717,207320,0.653,0,1,0.101,-5.634,1,0.0658,106.966,4,0.412,excited
5,NASA,Ariana Grande,5606877,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq,2019-02-08,4SPu0Ql902hTVXkBoNIYtq,0.447,0.737,182000,0.461,0,6,0.268,-6.887,1,0.293,75.005,4,0.481,sad
6,bloodline,Ariana Grande,5490853,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX,2019-02-08,2hloaUoRonYssMuqLCBLTX,0.0815,0.758,216893,0.665,0.000157,2,0.216,-5.188,0,0.0774,151.976,4,0.643,happy
7,bad idea,Ariana Grande,5175165,https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg,2019-02-08,7EQpvVujgytLVY8vKiDHAg,0.0276,0.847,267107,0.58,0.0548,1,0.1,-5.316,1,0.0723,137.995,4,0.575,happy
8,fake smile,Ariana Grande,4871271,https://open.spotify.com/track/3wFLWP0FcIqHK1wb1CPthQ,2019-02-08,3wFLWP0FcIqHK1wb1CPthQ,0.329,0.45,208880,0.619,0,9,0.319,-7.412,1,0.372,83.3,4,0.427,excited
9,ghostin,Ariana Grande,4531561,https://open.spotify.com/track/4lD7gHKF1e8Y9stQuVezZB,2019-02-08,4lD7gHKF1e8Y9stQuVezZB,0.422,0.396,271467,0.358,1.71E-05,9,0.19,-8.294,1,0.0292,103.807,4,0.111,sad
12,imagine,Ariana Grande,4298231,https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow,2019-02-08,39LmTF9RgyakzSYX8txrow,0.378,0.729,212267,0.475,0,8,0.12,-4.985,1,0.0364,62.52,3,0.371,sad
14,in my head,Ariana Grande,3963509,https://open.spotify.com/track/4T652DlATVHe0jdLKaN3Bw,2019-02-08,4T652DlATVHe0jdLKaN3Bw,0.173,0.662,222947,0.6,0.000137,0,0.109,-6.402,1,0.0703,134.979,4,0.331,excited
15,make up,Ariana Grande,3948984,https://open.spotify.com/track/27356GVuMPFWiJSZCragoM,2019-02-08,27356GVuMPFWiJSZCragoM,0.0844,0.671,140693,0.714,1.48E-06,7,0.0568,-5.373,1,0.21,105.137,3,0.477,excited
24,Talk,Khalid,2703793,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,2019-02-08,0rTV5WefWd1J3OwIheTzxM,0.0501,0.9,197487,0.4,0,0,0.0876,-8.443,1,0.124,136.001,4,0.338,sad
33,Who Do You Love,The Chainsmokers,2271755,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,2019-02-08,11cDEev79fPKi6uJCjUhu8,0.00791,0.51,226747,0.835,0,3,0.219,-4.673,1,0.0447,140.024,4,0.435,excited
40,Soldi,Mahmood,1559859,https://open.spotify.com/track/2dxky69jKzbtUfA3Hl8Nuo,2019-02-10,2dxky69jKzbtUfA3Hl8Nuo,0.0404,0.69,195476,0.581,0,3,0.111,-9.832,0,0.0466,94.904,4,0.372,excited
16,Please Me,Cardi B,2743727,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,2019-02-15,0PG9fbaaHFHfre2gUVo7AN,0.0642,0.747,200890,0.57,0,1,0.0832,-6.711,1,0.081,133.992,4,0.65,happy
30,Robbery,Juice WRLD,2227872,https://open.spotify.com/track/711MglQhnhOF3UAiAs9A59,2019-02-15,711MglQhnhOF3UAiAs9A59,0.278,0.669,240437,0.683,0,2,0.268,-5.17,1,0.054,159.996,4,0.579,happy
